RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,,CAPAE-8.35x8.35h6.2,17.78,20.295,Top,270,47u 35V
C2,CAP_0805,CAP_0805,36.83,75.435,Top,90,100nF
C3,CAP_0805,CAP_0805,41.91,75.435,Top,90,100nF
C4,CAP_0805,CAP_0805,46.99,75.435,Top,90,100nF
C5,CAP_0805,CAP_0805,52.07,75.435,Top,90,100nF
C6,,CAPAE-8.35x8.35h6.2,43.18,20.295,Top,270,47u 35V
C7,CAP_0805,CAP_0805,12.7,76.33,Top,90,100nF
C8,CAP_0805,CAP_0805,17.78,76.33,Top,90,100nF
C9,CAP_0805,CAP_0805,22.86,76.33,Top,90,100nF
C10,CAP_0805,CAP_0805,27.94,76.33,Top,90,100nF
C11,,CAPAE-8.35x8.35h6.2,68.58,20.295,Top,270,47u 35V
C12,CAP_0805,CAP_0805,65.949,59.436,Top,0,100nF
C13,CAP_NP_1206,CAP_1206,69.291,57.706,Top,270,10uF
C14,CAP_NP_1206,CAP_0805,58.765,54.813,Top,180,150pF
C15,CAP_NP_1206,CAP_1206,68.447,66.425,Top,90,22uF 6.3V
C16,CAP_0805,CAP_0805,61.278,35.721,Top,270,100nF
C17,CAP_0805,CAP_0805,68.898,35.88,Top,270,100nF
D1,10BQ100,b340a-13-f,65.329,62.078,Top,0,
J2,644456-4,HDR-1x4,63.817,73.342,Top,180,
J3,HDR-1x8,HDR-1x8,43.18,86.36,Top,0,
J4,644456-4,HDR-1x4,17.78,2.54,Top,0,
J5,HDR-1x19,HDR-1x19,25.4,62.23,Top,0,
J7,644456-4,HDR-1x4,43.18,2.54,Top,0,
J8,HDR-1x8,HDR-1x8,19.05,86.36,Top,0,
J9,644456-4,HDR-1x4,68.58,2.54,Top,0,
J10,HDR-1x8,HDR-1x8,86.36,24.13,Top,270,
J11,PJ-007,PJ-102A,77.93,53.535,Top,180,
J20,TF-01A,TF-01A,75.296,64.725,Top,180,
JP1,CONN_HEADER_2x3,HDR-2x3,6.35,19.05,Top,270,
JP2,CONN_HEADER_2x3,HDR-2x3,31.75,19.05,Top,270,
JP3,CONN_HEADER_2x3,HDR-2x3,57.15,19.05,Top,270,
L1,IND_1210,Inductor 06030,59.399,60.104,Top,90,4.7uH
R1,RES_0805,RES_0805,34.29,70.355,Top,270,10k
R2,RES_0805,RES_0805,39.37,70.355,Top,270,10k
R3,RES_0805,RES_0805,44.45,70.355,Top,270,10k
R4,RES_0805,RES_0805,49.53,70.355,Top,270,10k
R5,RES_0805,RES_0805,69.291,53.452,Top,90,100k
R6,RES_0805,RES_0805,34.29,75.435,Top,270,100
R7,RES_0805,RES_0805,39.37,75.435,Top,270,100
R8,RES_0805,RES_0805,44.45,75.435,Top,270,100
R9,RES_0805,RES_0805,49.53,75.435,Top,270,100
R10,RES_0805,RES_0805,10.16,76.33,Top,270,100
R11,RES_0805,RES_0805,15.24,76.33,Top,270,100
R12,RES_0805,RES_0805,20.32,76.33,Top,270,100
R13,RES_0805,RES_0805,25.4,76.33,Top,270,100
R14,RES_0805,RES_0805,58.765,52.502,Top,180,100k
R15,RES_0805,RES_0805,58.684,50.19,Top,0,40.2k
R16,RES_0805,RES_0805,61.697,51.14,Top,90,210k
R17,RES_0805,RES_0805,59.69,39.367,Top,90,10k
R18,RES_0805,RES_0805,12.7,31.589,Top,90,10k
U1,ESP32 Dev Module,ESP-32 NodeMCU 32S,2.54,59.69,Top,270,ESP-32
U2,StepStick,StepStick,11.43,24.13,Top,0,
U3,StepStick,StepStick,36.83,24.13,Top,0,
U4,StepStick,StepStick,62.23,24.13,Top,0,
U5,MP1584EN,MP1584EN,61.622,57.405,Top,270,MP1584EN
U6,TXS0101,SOT23-6,64.69,39.209,Top,180,
